paper_id,author_id,author_name,institution_candidate,country_candidate,first_page_text_path
CVPR-2015-P0126,CVPR-2015-A000468,Chung-Ching Lin,"IBM Thomas J. Watson Research Center, Kitchawan Road, Yorktown Heights, NY",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0126.txt
CVPR-2015-P0126,CVPR-2015-A000469,Sharathchandra U. Pankanti,"IBM Thomas J. Watson Research Center, Kitchawan Road, Yorktown Heights, NY",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0126.txt
CVPR-2015-P0126,CVPR-2015-A000470,Karthikeyan Natesan Ramamurthy,"IBM Thomas J. Watson Research Center, Kitchawan Road, Yorktown Heights, NY",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0126.txt
CVPR-2015-P0126,CVPR-2015-A000471,Aleksandr Y. Aravkin,"IBM Thomas J. Watson Research Center, Kitchawan Road, Yorktown Heights, NY",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0126.txt
CVPR-2015-P0127,CVPR-2015-A000472,Jerome Revaud,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0127.txt
CVPR-2015-P0127,CVPR-2015-A000473,Philippe Weinzaepfel,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0127.txt
CVPR-2015-P0127,CVPR-2015-A000474,Zaid Harchaoui,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0127.txt
CVPR-2015-P0127,CVPR-2015-A000475,Cordelia Schmid,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0127.txt
CVPR-2015-P0128,CVPR-2015-A000476,Gong Cheng,"School of Automation, Northwestern Polytechnical University, Xi'an, China",China,data/raw/cvpr/2015/first_pages/CVPR-2015-P0128.txt
CVPR-2015-P0128,CVPR-2015-A000477,Junwei Han,"School of Automation, Northwestern Polytechnical University, Xi'an, China",China,data/raw/cvpr/2015/first_pages/CVPR-2015-P0128.txt
CVPR-2015-P0128,CVPR-2015-A000478,Lei Guo,"School of Automation, Northwestern Polytechnical University, Xi'an, China",China,data/raw/cvpr/2015/first_pages/CVPR-2015-P0128.txt
CVPR-2015-P0128,CVPR-2015-A000479,Tianming Liu,"Department of Computer Science, The University of Georgia, Athens, GA",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0128.txt
CVPR-2015-P0129,CVPR-2015-A000480,Guilin Liu,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0129.txt
CVPR-2015-P0129,CVPR-2015-A000481,Yotam Gingold,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0129.txt
CVPR-2015-P0129,CVPR-2015-A000482,Jyh-Ming Lien,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0129.txt
CVPR-2015-P0130,CVPR-2015-A000483,Tinghui Zhou,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0130.txt
CVPR-2015-P0130,CVPR-2015-A000484,Yong Jae Lee,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0130.txt
CVPR-2015-P0130,CVPR-2015-A000485,Stella X. Yu,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0130.txt
CVPR-2015-P0130,CVPR-2015-A000486,Alyosha A. Efros,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0130.txt
CVPR-2015-P0131,CVPR-2015-A000487,Minsu Cho,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0131.txt
CVPR-2015-P0131,CVPR-2015-A000488,Suha Kwak,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0131.txt
CVPR-2015-P0131,CVPR-2015-A000489,Cordelia Schmid,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0131.txt
CVPR-2015-P0131,CVPR-2015-A000490,Jean Ponce,École Normale Supérieure / PSL Research University,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0131.txt
CVPR-2015-P0132,CVPR-2015-A000491,Xiantong Zhen,"University of Western Ontario, London, ON, Canada",Canada,data/raw/cvpr/2015/first_pages/CVPR-2015-P0132.txt
CVPR-2015-P0132,CVPR-2015-A000492,Zhijie Wang,"University of Western Ontario, London, ON, Canada",Canada,data/raw/cvpr/2015/first_pages/CVPR-2015-P0132.txt
CVPR-2015-P0132,CVPR-2015-A000493,Mengyang Yu,"University of Western Ontario, London, ON, Canada",Canada,data/raw/cvpr/2015/first_pages/CVPR-2015-P0132.txt
CVPR-2015-P0132,CVPR-2015-A000494,Shuo Li,"University of Western Ontario, London, ON, Canada",Canada,data/raw/cvpr/2015/first_pages/CVPR-2015-P0132.txt
CVPR-2015-P0133,CVPR-2015-A000495,Andrea Gasparetto,"Dipartimento di Scienze Ambientali, Informatica e Statistica Universitá Ca’ Foscari Venezia - via Torino, - Venice Italy",Italy,data/raw/cvpr/2015/first_pages/CVPR-2015-P0133.txt
CVPR-2015-P0133,CVPR-2015-A000496,Andrea Torsello,"Dipartimento di Scienze Ambientali, Informatica e Statistica Universitá Ca’ Foscari Venezia - via Torino, - Venice Italy",Italy,data/raw/cvpr/2015/first_pages/CVPR-2015-P0133.txt
CVPR-2015-P0134,CVPR-2015-A000497,Fillipe Souza,"University of South Florida Tampa, FL USA",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0134.txt
CVPR-2015-P0134,CVPR-2015-A000498,Sudeep Sarkar,"University of South Florida Tampa, FL USA",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0134.txt
CVPR-2015-P0134,CVPR-2015-A000499,Anuj Srivastava,"Florida State University Tallahassee, FL USA",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0134.txt
CVPR-2015-P0134,CVPR-2015-A000500,Jingyong Su,"Texas Tech University Lubbock, TX USA",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0134.txt
CVPR-2015-P0135,CVPR-2015-A000501,Srikumar Ramalingam,"Mitsubishi Electric Research Laboratories (MERL), Cambridge, USA",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0135.txt
CVPR-2015-P0135,CVPR-2015-A000502,Michel Antunes,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0135.txt
